,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT,INF_AGENT_DENSITY,INF_4G_COVERAGE
Telebirr Launch,2.2,3.9000000000000004,6.0,,
NFIS-II Strategy Launch,6.0,3.3000000000000003,2.0,,
Safaricom Ethiopia Commercial Launch,0.9,4.0,1.6,,
M-Pesa Ethiopia Launch,2.2,3.9000000000000004,6.0,,
Fayda Digital ID Program Rollout,4.0,2.0,,26.0,22.5
Foreign Exchange Liberalization,6.0,3.3000000000000003,2.0,,
P2P Transaction Count Surpasses ATM,,1.0,,,
M-Pesa EthSwitch Integration,,,,,
Safaricom Ethiopia Price Increase,,,,,
EthioPay Instant Payment System Launch,4.0,2.0,,26.0,22.5
P2P Interoperability Launch,4.0,2.0,,26.0,22.5
COVID-19 Pandemic,,,,,
