,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT,INF_AGENT_DENSITY,INF_4G_COVERAGE
Telebirr Launch,2.0,3.0,5.0,,
NFIS-II Strategy Launch,5.0,3.0,2.0,,
Safaricom Ethiopia Commercial Launch,1.0,4.0,2.0,,
M-Pesa Ethiopia Launch,2.0,3.0,5.0,,
Fayda Digital ID Program Rollout,4.0,2.0,,20.0,15.0
Foreign Exchange Liberalization,5.0,3.0,2.0,,
P2P Transaction Count Surpasses ATM,,1.0,,,
M-Pesa EthSwitch Integration,,,,,
Safaricom Ethiopia Price Increase,,,,,
EthioPay Instant Payment System Launch,4.0,2.0,,20.0,15.0
P2P Interoperability Launch,4.0,2.0,,20.0,15.0
COVID-19 Pandemic,,,,,
