,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT,INF_AGENT_DENSITY,INF_4G_COVERAGE
Telebirr Launch,10.725,3.9000000000000004,6.0,,
NFIS-II Strategy Launch,26.325000000000003,4.95,3.0,,
Safaricom Ethiopia Commercial Launch,1.4625000000000001,4.0,2.0,,
M-Pesa Ethiopia Launch,3.575,3.9000000000000004,6.0,,
Fayda Digital ID Program Rollout,5.2,2.0,,26.0,22.5
Foreign Exchange Liberalization,11.700000000000001,4.95,3.75,,
P2P Transaction Count Surpasses ATM,,1.0,,,
M-Pesa EthSwitch Integration,,,,,
Safaricom Ethiopia Price Increase,,,,,
EthioPay Instant Payment System Launch,5.2,2.0,,26.0,22.5
P2P Interoperability Launch,5.2,2.0,,26.0,22.5
COVID-19 Pandemic,,,,,
