,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT,INF_AGENT_DENSITY,INF_4G_COVERAGE
Telebirr Launch,low,low,low,low,low
NFIS-II Strategy Launch,low,low,low,low,low
Safaricom Ethiopia Commercial Launch,low,low,low,low,low
M-Pesa Ethiopia Launch,high,low,medium,low,low
Fayda Digital ID Program Rollout,medium,low,low,low,low
Foreign Exchange Liberalization,low,low,low,low,low
P2P Transaction Count Surpasses ATM,low,low,low,low,low
M-Pesa EthSwitch Integration,low,low,low,low,low
Safaricom Ethiopia Price Increase,low,low,low,low,low
EthioPay Instant Payment System Launch,low,low,low,low,low
P2P Interoperability Launch,low,low,low,low,low
COVID-19 Pandemic,low,low,low,low,low
